experiments,	30
steps,	200
agents,	10
name, minimum, maximum, median, average, standard deviation
eil101, 773.0, 928.0, 859.0, 853.0, 35.1
lin105, 21100.0, 26200.0, 23700.0, 23800.0, 1250.0
pr107, 78500.0, 142000.0, 115000.0, 114000.0, 12700.0
gr120, 9630.0, 11600.0, 10800.0, 10800.0, 496.0
kro124p, 50300.0, 55400.0, 53000.0, 53000.0, 1420.0
pr124, 88200.0, 136000.0, 123000.0, 120000.0, 11600.0
bier127, 146000.0, 176000.0, 163000.0, 163000.0, 5550.0
ch130, 9280.0, 10800.0, 9830.0, 9930.0, 383.0
pr136, 152000.0, 180000.0, 165000.0, 164000.0, 7120.0
gr137, 106000.0, 126000.0, 118000.0, 118000.0, 5940.0
pr144, 136000.0, 175000.0, 158000.0, 157000.0, 9750.0
ch150, 9800.0, 11700.0, 10800.0, 10700.0, 390.0
kroA150, 42400.0, 54200.0, 47800.0, 47700.0, 2680.0
kroB150, 43400.0, 53000.0, 47300.0, 47600.0, 2180.0
pr152, 180000.0, 238000.0, 203000.0, 204000.0, 13100.0
u159, 68200.0, 89700.0, 80100.0, 79600.0, 5000.0
ftv170, 5670.0, 6740.0, 6330.0, 6280.0, 277.0
si175, 25700.0, 26800.0, 26300.0, 26200.0, 265.0
brg180, 3680.0, 4230.0, 4000.0, 3980.0, 154.0
rat195, 3680.0, 4310.0, 3960.0, 3960.0, 172.0
d198, 25800.0, 35800.0, 32100.0, 31700.0, 2430.0
kroA200, 51900.0, 64500.0, 58900.0, 58700.0, 2780.0
kroB200, 54000.0, 62200.0, 58600.0, 58400.0, 2320.0
